time,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,PLANT_IN,B101,B102,B103,B104,B105,B201,B202,B203,B204,B205,B301,B302,B303,B304,B305,B401,B402,B403,B404,B405,B501,B502,B503,B504,B505,B601,B602,B603,B604,B605
2026-06-01 01:05:00,584.0,611.4,206.2,559.9,364.6,188.9,530.2,625.1,412.4,534.0,366.3,313.6,336.7,465.1,560.5,228.0,353.4,638.6,550.5,374.8,537.2,456.0,312.2,415.2,400.0,450.4,385.8,214.1,579.6,371.9,310.9,364.4,579.4,203.2,230.6,269.0,253.1,461.1,528.3,284.6,588.1,349.0,363.4
2026-06-01 01:10:00,599.8,633.2,226.5,593.7,355.0,173.2,501.4,587.5,415.1,541.8,380.6,312.9,324.8,472.0,516.0,231.1,338.8,632.8,579.3,380.4,578.8,462.3,305.0,408.1,404.2,460.3,378.8,228.5,593.3,359.2,314.3,342.8,594.4,205.6,221.7,278.3,252.4,468.8,532.5,292.9,552.7,342.0,336.7
2026-06-01 01:15:00,646.6,680.8,222.7,578.4,369.9,177.0,499.2,588.2,409.9,538.0,356.3,305.8,333.3,452.1,542.3,239.4,332.9,651.7,560.8,412.1,612.4,477.3,320.1,441.3,377.2,437.1,378.8,215.8,604.6,358.5,309.5,371.4,584.2,215.1,223.0,282.3,241.4,436.5,543.5,303.0,616.5,354.3,379.1
2026-06-01 01:20:00,618.5,623.0,204.6,577.1,342.1,178.3,502.5,582.2,397.1,533.2,340.6,294.7,339.6,454.4,528.1,223.5,314.1,663.3,590.9,377.2,609.2,489.4,328.9,406.5,388.8,434.6,367.5,210.1,587.8,355.2,341.2,377.6,603.6,207.1,218.5,278.9,247.0,434.3,539.4,304.6,597.1,333.7,365.3
2026-06-01 01:25:00,639.7,615.2,211.4,574.6,354.0,183.7,523.2,589.7,387.3,514.2,343.5,285.9,330.2,460.4,486.7,229.2,348.3,623.0,554.6,384.6,615.6,497.4,306.4,419.8,382.6,445.1,363.0,220.4,615.6,375.0,328.5,389.0,602.0,189.1,218.8,269.2,249.0,451.6,540.1,335.7,546.3,360.5,378.4
2026-06-01 01:30:00,638.0,687.4,223.3,582.2,362.5,186.5,524.6,588.8,381.2,513.7,329.3,310.2,330.6,458.3,517.5,229.8,332.7,609.9,585.9,414.1,617.2,491.4,338.5,432.5,381.5,448.4,356.1,224.0,642.1,374.5,330.5,400.3,625.1,218.5,205.3,261.6,240.9,450.0,526.3,326.3,596.4,359.3,366.2
2026-06-01 01:35:00,655.0,655.3,223.8,629.2,355.0,195.1,509.5,572.7,386.8,499.2,328.3,274.0,307.1,430.0,514.7,220.8,341.3,607.0,652.0,413.2,600.2,490.3,306.3,427.7,364.7,420.8,369.5,211.7,602.3,378.0,339.5,420.7,591.9,191.7,206.9,257.9,234.9,380.0,537.7,330.8,597.8,352.0,390.9
2026-06-01 01:40:00,664.9,682.2,221.0,610.1,371.6,178.3,501.6,581.6,394.2,470.0,344.0,286.1,310.3,441.3,540.3,232.5,334.6,594.2,631.6,418.4,606.9,519.6,344.3,412.6,361.1,411.7,350.9,218.4,656.9,396.5,341.4,407.8,580.8,207.8,220.0,264.1,226.7,434.7,571.7,324.5,610.1,372.0,369.9
2026-06-01 01:45:00,685.6,681.5,247.2,615.0,357.2,179.2,516.2,554.0,373.9,487.4,318.5,277.8,299.0,449.8,508.1,227.9,337.8,591.9,642.6,435.8,617.0,499.8,330.4,412.4,377.5,410.0,345.6,213.0,660.9,421.2,335.2,401.8,664.0,193.3,219.8,240.6,229.2,385.6,535.0,317.4,626.7,368.4,378.9
2026-06-01 01:50:00,712.5,711.1,239.3,614.8,387.7,185.6,492.9,575.9,388.6,480.0,331.9,271.0,304.3,445.6,531.6,223.4,320.4,588.7,626.3,443.2,619.7,513.9,333.2,418.5,380.5,419.5,345.0,198.5,683.4,426.1,358.0,418.9,639.3,188.1,198.9,257.9,222.5,409.0,597.7,353.6,650.3,383.8,384.0
2026-06-01 01:55:00,735.2,697.0,244.3,674.3,392.1,179.7,491.9,576.2,373.8,465.8,325.2,269.6,301.2,480.4,522.9,241.2,311.9,608.4,632.1,434.4,671.1,517.6,340.6,443.6,363.7,410.0,356.7,202.0,656.5,405.6,345.3,436.9,627.6,192.2,205.3,247.5,221.5,388.4,574.2,325.7,670.8,366.0,370.8
2026-06-01 02:00:00,719.6,726.0,239.7,662.3,375.8,184.0,497.5,569.4,371.7,468.5,316.0,260.6,302.8,472.4,504.2,232.5,332.5,588.8,659.9,447.3,693.1,496.3,337.8,423.8,377.6,390.1,360.0,210.7,678.9,429.7,368.6,434.7,669.4,190.9,203.5,238.1,222.7,394.5,585.6,342.5,682.2,372.5,398.3
2026-06-01 02:05:00,738.4,752.7,254.3,633.1,383.3,184.1,487.1,559.9,392.3,474.8,319.8,264.8,302.0,452.0,521.5,215.0,326.6,613.2,675.5,464.2,684.3,559.8,367.6,429.0,384.9,425.3,359.7,199.5,676.7,442.3,356.1,433.2,673.7,191.7,209.3,234.8,220.3,398.5,619.7,360.4,699.3,392.4,408.8
2026-06-01 02:10:00,712.8,733.0,250.3,652.0,395.6,173.4,502.2,570.0,382.8,453.8,305.5,260.7,292.8,469.2,558.8,224.9,321.4,586.7,728.3,474.0,704.1,559.7,350.2,452.0,368.8,421.8,353.3,207.0,688.0,452.2,356.0,458.8,704.1,195.6,207.1,230.0,227.1,400.1,621.5,388.7,674.3,392.9,409.8
2026-06-01 02:15:00,749.1,753.1,255.4,663.8,373.5,191.0,491.6,544.3,382.3,457.1,319.2,275.8,275.9,493.6,536.1,245.9,334.4,582.7,722.1,487.0,705.8,518.5,357.6,429.9,358.5,426.8,356.5,198.9,748.5,473.7,394.3,444.0,719.1,198.8,212.0,245.7,215.1,407.5,619.4,386.0,646.8,381.4,439.4
2026-06-01 02:20:00,785.6,774.7,266.9,682.3,377.4,191.5,528.8,564.5,355.0,486.5,302.2,260.6,268.4,473.7,559.0,223.8,331.7,613.0,715.1,479.9,724.2,585.1,354.8,444.8,362.1,430.7,350.5,205.3,729.2,443.5,380.9,455.5,712.2,205.3,199.8,255.0,220.5,372.4,620.9,380.3,649.3,428.0,406.2
2026-06-01 02:25:00,797.2,762.5,253.7,676.4,413.9,202.5,526.5,569.0,387.9,441.2,302.7,253.8,280.7,501.9,564.2,233.1,337.0,592.8,726.2,502.1,678.6,572.9,368.3,440.5,372.0,418.4,356.6,203.4,739.3,454.9,405.9,482.0,754.4,199.4,211.1,237.4,214.3,399.3,620.2,404.4,730.9,433.9,402.3
2026-06-01 02:30:00,795.0,800.3,284.4,712.2,408.5,197.8,546.2,544.7,363.8,460.0,299.6,251.8,285.5,516.7,549.3,243.6,322.9,593.0,753.7,519.8,744.2,605.8,375.2,445.1,377.9,421.8,357.7,199.4,791.2,465.6,409.6,472.9,719.8,200.0,207.8,235.0,210.9,381.0,617.9,380.9,725.6,421.8,415.9
2026-06-01 02:35:00,824.3,827.6,277.7,746.4,409.0,193.1,504.1,579.7,363.5,446.1,308.7,258.9,270.0,521.7,542.2,242.1,345.9,599.5,719.4,514.7,740.5,600.1,381.0,431.4,386.4,434.4,347.0,205.5,770.0,488.0,416.1,487.4,706.4,196.9,206.5,250.4,220.7,380.0,701.6,398.7,773.0,417.9,439.8
2026-06-01 02:40:00,827.9,828.8,291.9,699.2,418.9,202.1,567.5,554.9,343.9,452.1,306.0,236.4,255.2,513.8,552.0,246.1,339.3,629.9,717.2,521.0,762.0,584.4,394.8,434.8,390.8,409.8,345.4,189.0,812.6,450.3,413.2,501.2,776.6,201.6,215.6,243.3,219.6,401.6,679.1,417.8,763.4,425.6,462.4
2026-06-01 02:45:00,858.6,846.1,276.8,715.7,395.4,194.0,518.6,574.7,373.6,460.8,276.5,240.5,281.4,538.6,605.3,248.8,354.2,614.2,790.4,527.4,781.1,620.3,390.4,449.2,392.5,425.0,374.1,196.4,776.2,494.5,426.2,508.7,780.4,202.4,213.0,252.8,213.4,391.6,676.4,390.0,725.9,447.1,456.5
2026-06-01 02:50:00,848.9,866.8,282.9,743.0,430.8,202.7,532.4,589.2,360.6,451.3,301.8,226.7,266.4,519.3,591.6,247.0,357.2,637.6,786.8,529.7,771.9,613.5,430.6,475.1,409.0,433.4,364.0,201.4,804.5,478.4,426.1,502.7,754.3,199.4,216.1,237.9,197.6,362.9,722.3,418.7,765.5,469.1,455.3
2026-06-01 02:55:00,845.2,864.2,285.7,757.1,430.9,217.9,550.2,582.5,380.6,475.4,283.6,243.4,261.8,576.5,567.1,244.4,358.9,616.9,765.6,532.8,775.9,617.6,416.2,481.7,397.1,451.6,377.8,213.0,801.9,512.8,453.9,531.2,828.0,226.8,227.9,251.8,226.5,382.1,701.0,426.5,803.3,494.0,491.5
2026-06-01 03:00:00,875.6,914.3,303.3,827.4,461.0,215.9,591.9,604.8,366.4,489.3,296.5,244.6,249.7,549.6,623.2,257.5,355.3,649.3,757.9,551.7,796.5,668.8,430.1,496.5,427.9,437.9,358.0,198.6,849.3,552.5,441.6,519.6,784.4,215.1,222.2,262.6,225.6,375.7,712.5,433.1,779.8,461.5,477.0
2026-06-01 03:05:00,802.1,949.1,306.6,818.1,470.3,227.4,582.8,612.8,404.5,485.7,299.2,231.0,257.4,574.2,585.1,255.1,369.4,641.4,842.3,572.8,791.6,670.3,443.7,485.0,430.4,441.6,370.1,209.4,841.4,541.8,451.3,569.5,837.0,218.3,237.7,243.6,229.8,381.1,766.8,421.1,857.5,468.7,467.0
2026-06-01 03:10:00,901.9,911.1,306.7,830.7,472.7,211.9,584.3,605.3,394.9,492.5,298.0,248.2,261.4,558.7,613.2,258.7,379.4,662.8,818.8,558.2,811.3,703.5,466.4,501.3,436.3,451.9,363.8,213.9,876.3,515.0,471.5,544.2,872.7,228.0,211.8,251.8,232.1,387.0,768.3,447.4,823.1,479.5,510.5
2026-06-01 03:15:00,804.9,951.6,306.5,815.0,478.5,227.5,584.4,640.7,420.4,462.5,307.2,233.0,259.1,583.4,641.3,278.7,379.8,674.1,853.3,580.4,827.0,675.8,459.1,509.9,423.6,471.3,392.2,216.0,872.2,535.0,458.9,569.1,873.0,206.2,230.9,254.5,226.3,396.8,766.8,452.4,839.7,496.1,514.0
2026-06-01 03:20:00,868.5,944.9,308.9,828.1,459.6,229.9,583.9,625.3,386.6,484.2,311.1,236.1,249.6,594.5,700.2,268.3,381.4,646.3,847.6,586.5,828.4,674.4,450.8,508.8,437.9,471.2,383.2,216.6,827.3,534.1,448.6,579.4,884.7,242.4,226.7,266.5,225.8,379.9,760.7,447.7,820.0,485.5,516.6
2026-06-01 03:25:00,940.1,976.0,325.6,812.0,498.2,244.1,640.8,695.1,423.5,500.5,299.6,240.3,254.2,578.8,678.6,290.3,393.7,677.1,864.4,629.8,892.1,718.4,446.5,514.4,456.6,459.0,389.7,216.1,881.8,577.2,465.0,568.8,879.7,225.0,231.6,274.3,219.0,396.0,789.9,472.7,928.6,485.8,547.0
2026-06-01 03:30:00,952.6,1025.0,326.3,882.9,507.4,246.4,645.8,659.2,388.6,513.1,301.9,252.1,250.1,588.4,664.4,283.2,385.9,706.4,860.5,619.0,866.4,697.4,473.2,505.0,452.0,469.6,426.2,221.8,857.4,525.1,501.9,565.8,909.8,228.7,237.4,262.6,235.4,398.2,809.0,487.6,883.4,511.0,528.7
2026-06-01 03:35:00,917.3,1007.5,328.9,889.2,525.3,250.5,667.9,649.0,420.0,533.6,312.1,235.8,268.1,612.7,686.7,284.6,417.0,721.6,884.6,626.6,852.1,718.9,490.7,535.5,453.0,498.3,417.4,233.5,918.0,561.3,493.8,603.4,931.9,235.1,253.0,292.6,234.5,412.5,811.9,465.1,909.9,527.6,543.5
2026-06-01 03:40:00,940.9,952.0,356.5,924.2,547.6,261.6,661.0,664.1,416.2,530.8,301.2,246.0,263.1,648.0,717.5,275.2,385.4,736.8,912.5,638.4,903.5,747.4,484.6,545.8,460.4,507.5,424.2,225.7,933.3,563.2,502.8,572.5,912.4,250.3,247.4,277.0,235.5,412.5,845.7,488.8,894.2,558.1,531.7
2026-06-01 03:45:00,1012.3,1032.3,344.6,897.6,496.7,251.5,612.0,720.3,425.5,536.2,315.1,251.7,253.4,602.9,740.7,315.0,413.5,724.7,899.5,618.4,895.3,743.0,490.5,576.1,469.2,514.2,407.9,219.0,945.5,561.0,508.7,582.4,910.7,263.4,246.0,276.2,234.8,430.6,801.3,508.2,917.6,521.4,544.6
2026-06-01 03:50:00,968.5,1069.2,363.5,912.7,525.5,269.0,651.1,699.9,431.9,572.3,336.9,252.6,249.9,641.7,717.4,301.3,415.2,769.1,907.7,662.3,978.9,744.6,499.5,587.9,470.7,515.4,406.5,241.5,932.5,616.7,537.3,623.9,977.4,264.2,264.4,298.0,241.0,428.2,829.6,515.0,950.3,565.3,556.9
2026-06-01 03:55:00,1059.8,1036.5,349.1,934.5,528.1,254.7,697.7,691.7,434.1,540.6,313.4,255.6,263.1,685.5,730.4,285.8,419.6,733.4,943.2,646.3,952.9,733.2,474.9,579.3,539.0,544.6,450.8,253.1,898.2,565.4,483.4,616.2,1020.4,252.6,254.5,291.9,242.5,439.2,860.0,498.1,966.8,553.0,585.4
2026-06-01 04:00:00,1002.8,1087.1,362.0,968.0,551.3,258.6,692.1,752.8,437.0,543.4,329.6,259.9,259.3,645.6,729.0,321.3,439.3,727.2,954.5,649.3,917.8,796.7,512.0,623.0,475.4,547.5,415.8,238.6,958.7,577.5,518.8,613.6,1022.2,246.7,282.0,292.3,264.6,441.3,840.6,522.7,983.8,558.3,570.2
2026-06-01 04:05:00,1024.8,1045.4,363.2,913.5,557.0,277.7,699.8,737.6,456.0,560.5,332.1,253.1,262.4,706.8,775.3,316.9,428.0,768.4,912.2,633.0,987.5,775.6,527.7,600.0,498.6,556.6,446.9,261.0,972.2,633.4,526.5,624.2,911.7,262.1,262.7,296.0,270.1,430.0,889.3,508.6,1009.2,543.6,588.6
2026-06-01 04:10:00,1071.2,1030.9,349.5,989.7,561.0,263.4,699.7,774.9,472.0,551.6,364.1,274.1,259.5,668.6,796.4,313.7,479.8,816.8,952.2,655.5,983.9,808.1,522.0,625.3,531.9,566.9,450.5,259.1,962.6,607.8,530.7,625.0,1038.4,264.8,275.7,325.5,260.0,447.8,908.7,530.8,1012.3,584.5,594.6
2026-06-01 04:15:00,1034.5,1094.8,388.5,980.2,590.8,284.9,756.5,794.9,495.4,578.3,343.4,263.9,263.6,683.4,739.4,337.3,439.8,776.2,946.2,634.3,984.5,814.0,546.9,614.7,520.5,597.8,456.8,250.7,977.5,611.4,548.7,688.9,992.4,261.1,299.3,302.3,280.5,451.4,883.8,512.1,1020.0,589.9,605.8
2026-06-01 04:20:00,1007.7,1043.0,375.1,961.4,562.0,285.2,757.6,792.9,491.4,556.9,349.8,266.8,276.8,710.1,788.0,308.0,452.9,780.3,969.6,670.8,1048.8,837.5,553.8,605.0,534.6,562.4,471.8,258.7,926.1,607.8,553.8,672.7,1077.4,284.2,285.0,327.8,276.2,479.3,900.9,505.0,995.2,632.7,600.7
2026-06-01 04:25:00,1043.6,1103.6,389.3,942.1,570.7,297.8,770.6,857.3,513.0,588.2,349.8,284.1,277.0,764.5,780.3,331.6,459.1,787.4,1018.7,669.9,981.4,813.6,533.0,628.2,555.6,582.6,471.0,262.9,989.9,623.9,541.4,642.4,1000.2,284.0,296.5,314.9,292.6,489.0,893.1,542.9,1019.7,594.9,618.8
2026-06-01 04:30:00,1053.5,1165.0,376.0,1012.5,578.5,292.2,756.3,771.1,481.9,606.2,367.4,272.2,304.5,720.1,825.7,341.2,484.6,863.0,994.5,679.1,1051.9,818.9,554.3,674.8,575.3,593.9,476.7,275.0,990.5,620.1,521.3,658.2,1006.9,292.9,296.8,322.2,290.3,484.1,898.6,553.7,999.5,634.7,608.7
2026-06-01 04:35:00,1018.4,1066.6,386.6,1072.7,598.0,297.3,786.7,806.2,506.2,636.7,376.7,284.9,292.7,705.8,803.2,358.5,504.4,821.2,1054.9,663.8,1016.4,807.7,553.5,650.7,562.1,632.8,507.0,276.9,962.8,618.3,594.8,681.9,1050.1,299.7,302.7,333.2,295.7,496.0,949.2,555.9,1032.8,607.7,637.3
2026-06-01 04:40:00,1060.4,1096.9,382.0,1091.3,589.5,305.5,762.3,833.4,532.7,650.9,370.2,280.8,282.1,722.9,812.6,378.7,505.1,886.9,1003.5,712.4,1036.9,829.3,524.3,656.3,591.5,612.7,527.9,292.6,1020.0,609.2,556.8,655.3,1048.0,304.0,300.1,344.5,297.5,478.8,898.0,535.7,1072.6,613.6,644.9
2026-06-01 04:45:00,1051.0,1113.9,410.5,1061.1,618.5,298.8,802.4,911.0,535.8,622.3,398.5,314.0,283.3,786.0,886.9,357.4,527.2,877.9,997.8,715.0,1022.0,859.0,560.4,675.1,554.5,614.4,492.9,295.3,993.6,640.2,561.9,668.6,1058.2,301.9,316.9,328.5,293.9,505.5,950.8,512.6,1081.9,594.8,654.1
2026-06-01 04:50:00,1110.7,1155.7,403.0,1122.8,623.5,302.2,754.9,913.0,525.1,692.4,397.1,317.7,305.5,743.0,865.4,370.3,499.9,879.8,1007.6,742.8,1031.5,836.3,551.1,676.7,582.1,637.1,531.4,279.2,1019.5,631.0,585.1,678.5,1108.3,322.2,330.2,345.6,293.5,481.4,920.3,572.5,1100.3,654.4,670.8
2026-06-01 04:55:00,1087.2,1153.0,406.9,1069.1,618.7,317.0,789.0,913.4,563.1,665.8,411.1,301.3,303.4,812.1,879.6,400.9,530.4,887.1,1017.5,746.6,1046.5,872.2,575.9,718.9,610.3,650.8,545.4,284.9,1030.9,636.3,560.1,670.8,1125.9,307.0,303.7,368.1,312.7,542.3,916.3,586.6,1136.2,641.3,702.8
2026-06-01 05:00:00,1081.7,1222.5,422.2,1111.1,657.3,316.1,830.8,871.1,547.5,678.8,403.9,312.5,324.9,795.2,904.1,375.5,522.8,934.1,1027.6,718.3,1006.3,908.6,590.2,743.0,645.9,682.0,552.3,308.0,1029.1,660.8,591.7,715.9,1062.1,310.0,318.3,374.0,315.1,574.6,974.2,533.7,1053.9,644.3,639.8
2026-06-01 05:05:00,1091.8,1214.0,422.8,1074.8,646.0,316.1,910.3,886.8,551.8,651.8,418.0,313.2,320.6,802.0,930.0,385.8,538.7,920.8,991.3,740.6,1084.6,864.5,579.0,712.3,600.2,660.2,549.5,302.4,980.5,640.3,566.9,681.9,1154.2,318.3,326.7,365.4,346.2,538.9,970.6,564.2,1043.7,644.3,672.1
2026-06-01 05:10:00,1106.4,1204.2,420.8,1081.6,674.5,322.8,813.8,895.1,581.9,683.1,419.4,315.3,304.3,819.1,903.1,371.0,560.3,955.5,1018.1,727.4,1083.0,847.0,571.2,732.8,604.9,663.2,551.3,310.3,1011.8,650.0,606.0,697.8,1065.7,330.1,328.0,361.1,333.7,560.7,936.7,556.7,1104.9,660.0,667.1
2026-06-01 05:15:00,1122.7,1197.6,396.3,1084.6,656.0,342.8,838.2,908.5,582.1,729.3,448.0,325.4,319.2,800.9,914.2,413.0,521.6,980.7,1006.0,715.3,1035.9,876.0,595.2,751.0,640.9,667.7,582.4,321.8,1090.6,686.6,584.3,705.8,1092.3,335.9,348.3,382.4,323.1,573.1,954.9,580.2,1170.9,646.3,698.3
2026-06-01 05:20:00,1071.9,1211.9,407.8,1046.2,665.4,326.1,886.5,984.9,581.1,721.6,437.9,329.5,328.3,832.5,924.6,386.3,589.8,1000.3,1062.7,721.0,1111.0,853.8,638.5,740.7,643.3,688.3,583.2,329.6,1069.1,662.6,566.4,739.8,1203.0,330.0,340.1,395.2,335.8,555.5,959.9,602.0,1177.2,674.2,712.3
2026-06-01 05:25:00,1072.6,1171.4,406.1,1166.1,660.3,329.1,938.0,947.8,588.6,731.2,443.7,320.2,345.5,807.4,976.4,402.6,561.0,1023.1,973.2,743.2,1141.5,932.1,559.4,726.9,636.0,758.6,552.0,313.9,1052.4,645.4,617.5,706.8,1135.4,334.3,351.8,393.2,337.9,581.9,973.7,577.3,1141.8,650.6,677.3
2026-06-01 05:30:00,1145.6,1237.7,430.0,1108.2,677.0,319.7,905.8,963.5,587.3,744.6,444.5,343.9,336.0,879.6,953.5,406.8,542.8,1013.0,1039.3,820.7,1075.6,902.5,605.8,745.3,633.6,721.4,589.1,308.5,1035.1,635.1,591.2,756.3,1105.2,355.0,371.4,413.3,346.3,601.5,955.5,574.8,1131.5,671.4,714.8
2026-06-01 05:35:00,1096.2,1169.9,424.8,1109.3,697.0,339.6,928.8,1001.1,607.5,717.7,450.8,346.5,354.6,826.8,956.6,409.3,564.9,988.4,988.3,758.1,1074.9,884.0,594.7,771.9,654.7,734.7,601.6,333.9,995.8,654.4,571.0,704.7,1140.3,332.0,340.5,398.7,337.9,605.2,1022.8,592.5,1155.9,688.2,731.4
2026-06-01 05:40:00,1063.3,1243.6,406.6,1102.3,678.9,349.8,909.4,940.3,643.3,758.5,468.2,355.9,344.6,871.8,985.6,407.1,585.2,1047.3,1049.4,739.0,1140.4,891.7,599.5,779.1,682.7,730.2,588.2,330.7,1020.2,672.5,557.6,709.2,1158.7,378.3,367.7,391.2,366.4,612.2,941.7,550.0,1190.7,710.5,726.6
2026-06-01 05:45:00,1125.3,1258.9,423.4,1141.3,702.8,354.5,913.3,1002.4,635.1,803.7,483.6,357.5,365.2,840.6,1037.1,419.6,577.4,1065.4,1023.6,745.0,1119.1,877.3,607.8,735.6,672.3,741.4,611.0,344.5,1010.8,645.1,594.6,735.1,1149.0,350.1,367.1,405.2,357.2,614.3,931.1,603.6,1129.5,689.4,714.3
2026-06-01 05:50:00,1125.5,1225.1,407.9,1214.5,679.5,349.6,938.2,978.4,656.4,806.8,469.1,360.0,375.3,860.2,993.8,442.7,559.2,1050.8,979.1,745.1,1102.8,939.5,605.5,774.2,710.0,764.0,631.8,347.1,1019.3,655.2,606.6,756.9,1183.5,354.7,371.3,417.7,373.5,613.2,973.0,608.7,1140.7,714.9,740.3
2026-06-01 05:55:00,1058.1,1212.2,427.4,1230.8,716.5,361.1,925.4,1013.1,655.5,788.4,487.6,379.3,393.9,870.7,991.6,453.4,603.5,1058.8,1063.8,732.7,1135.5,964.0,624.7,773.8,689.6,766.8,614.0,341.9,975.3,643.1,588.9,710.3,1111.8,364.5,366.4,413.8,364.3,650.0,918.7,591.0,1167.3,690.6,723.6
2026-06-01 06:00:00,1115.1,1233.9,407.7,1104.2,692.1,361.2,972.5,1014.2,640.7,838.8,495.3,381.2,386.2,965.9,1066.2,425.8,594.3,1159.2,955.1,751.0,1118.1,874.0,610.7,818.9,711.3,769.6,640.9,378.7,1045.8,645.9,587.4,742.6,1120.2,369.7,376.2,421.0,371.2,679.6,954.2,583.7,1206.1,673.8,752.3
